"CDRCONTMUTL","REF_CONT","REF_CRDT","CLIENT_ID","CURR","CATG","CONT_DATE","VAL_DATE","MATR_DATE","LIMT_REF","COMP","ACCT_OFFC","INTR_KEY","TIEG","INTR_SPREAD","TAUX_BASE","MARG","INTR_RATE","TYPE_ENG","REF_TITR","MONT_DEBL","AUTR_ID","CDRAUTR","CDRCUST","CDRTYPENG","CDRCURR","CDRCATG","CDRTITR","DATDEBVLD","DATFINVLD","VERSION_ACTUELLE","VERSION_NUMBER","DATCHG"
-1,IND,IND,IND,IND,IND,"1900-01-01 00:00:00.0","1900-01-01 00:00:00.0","1900-01-01 00:00:00.0",IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,-1,-1,-1,-1,-1,-1,19000101,99991231,0,-1,20260325
0,NR,NR,NR,NR,NR,"1900-01-01 00:00:00.0","1900-01-01 00:00:00.0","1900-01-01 00:00:00.0",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,19000101,99991231,0,0,20260325
23184,TF2434416199,TF2434416199,"1",EUR,"23225","2024-12-09 00:00:00.0","2024-12-09 00:00:00.0","2025-12-04 00:00:00.0","9998.01","8907248837","659",,,,,,,,,"25620.48",,0,287952,0,7,5222,0,20250930,99991231,1,1,20260325
2062588,TF243441619901,TF2434416199,"1",EUR,"23225",,"2024-12-27 00:00:00.0",,,"8907248837","659",,,,,,,,,"25620.48",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
2557238,"8906853583","8906853583","1",KWD,"5001","2013-04-01 00:00:00.0","2013-04-01 00:00:00.0",,NOSTRO,"8906853583","659",,,,,,,AC11100,,,,0,287952,858,15,4646,0,20250930,99991231,1,1,20260316
7102,TF1422624130,TF1422624130,"10",EUR,"23225","2014-08-14 00:00:00.0","2014-08-14 00:00:00.0","2025-10-15 00:00:00.0","9998.01","8900679891","659",,,,,,,,,"2388.87",,0,287961,0,7,5222,0,20250930,99991231,1,1,20260325
8359,TF1422672905,TF1422672905,"10",EUR,"23225","2014-08-14 00:00:00.0","2014-08-14 00:00:00.0","2025-10-15 00:00:00.0","9998.01","8900679891","659",,,,,,,,,"1379.4",,0,287961,0,7,5222,0,20250930,99991231,1,1,20260325
16503,TF1428704411,TF1428704411,"10",EUR,"23227","2014-10-14 00:00:00.0","2014-10-14 00:00:00.0","2015-10-09 00:00:00.0","9998.01","8902608568","659",,,,,,,,,"31050.00",,0,287961,0,7,3192,0,20250930,99991231,1,1,20260325
2071876,TF142870441101,TF1428704411,"10",EUR,"23227",,"2015-02-23 00:00:00.0","2015-02-23 00:00:00.0","9998.01","8902608568","659",,,,,,,,,"31050.00",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
28897,TF2415770106,TF2415770106,"10",USD,"23227","2024-06-05 00:00:00.0","2024-06-05 00:00:00.0","2025-10-28 00:00:00.0","9998.01","8923659618","659",,,,,,,,,"35123.02",,0,287961,0,18,3192,0,20250930,99991231,1,1,20260325
20051,TF2422186733,TF2422186733,"10",EUR,"23227","2024-08-08 00:00:00.0","2024-08-08 00:00:00.0","2025-08-14 00:00:00.0","9998.01","8906877032","659",,,,,,,,,"28760.40",,0,287961,0,7,3192,0,20250930,99991231,1,1,20260325
2085698,TF242218673301,TF2422186733,"10",EUR,"23227",,"2024-10-14 00:00:00.0","2024-10-14 00:00:00.0","9998.01","8906877032","659",,,,,,,,,"28760.40",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
3264,TF2429229542,TF2429229542,"10",USD,"23225","2024-10-18 00:00:00.0","2024-10-18 00:00:00.0","2025-10-13 00:00:00.0","9998.01","8902613685","659",,,,,,,,,"10080.00",,0,287961,0,18,5222,0,20250930,99991231,1,1,20260325
2089352,TF242922954201,TF2429229542,"10",USD,"23225",,"2024-11-04 00:00:00.0",,,"8902613685","659",,,,,,,,,"10080.00",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
27603,TF2431634054,TF2431634054,"10",TND,"23225","2024-11-11 00:00:00.0","2024-11-11 00:00:00.0","2025-11-06 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2086097,TF243163405401,TF2431634054,"10",TND,"23225",,"2024-12-05 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
23105,TF2432013854,TF2432013854,"10",TND,"23225","2024-11-15 00:00:00.0","2024-11-15 00:00:00.0","2025-11-10 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"175000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2068123,TF243201385401,TF2432013854,"10",TND,"23225",,"2024-12-19 00:00:00.0",,,"8923395424","659",,,,,,,,,"175000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
18319,TF2432780690,TF2432780690,"10",TND,"23225","2024-11-22 00:00:00.0","2024-11-22 00:00:00.0","2025-11-17 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"175000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2088049,TF243278069001,TF2432780690,"10",TND,"23225",,"2024-12-26 00:00:00.0",,,"8923395424","659",,,,,,,,,"175000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
