ID_BCT,TYPE_ID_BCT,CODE_BCT,MONT_ENCR_CRDT,CODE_OPERATION,STATUT_DECLR,DATE_MODIFICATION,DAT_SIT
BCT574748194906,01,0220,3819.772,N,1,,20250930
BCT721110921849,01,0220,2657.776,N,1,,20250930
BCT128932758322,01,0220,5370.114,N,1,,20250930
BCT289523970723,01,0220,84.056,N,1,,20250930
BCT966941804144,01,0220,619.76,N,1,,20250930
BCT249425775517,01,0220,1783.651,N,1,,20250930
BCT254755324779,01,0220,15.854,N,1,,20250930
BCT179534158467,01,0220,1598.367,N,1,,20250930
BCT382544079338,01,0220,148.494,N,1,,20250930
BCT725719984765,01,0220,118.357,N,1,,20250930
BCT077237025587,01,0220,2760.168,N,1,,20250930
BCT181983864509,01,0220,25.547,N,1,,20250930
BCT195285881840,01,0220,1792.276,N,1,,20250930
BCT254711235398,01,0220,13.327,N,1,,20250930
BCT181193089050,01,0220,2453.809,N,1,,20250930
BCT520751891444,01,0220,1452.211,N,1,,20250930
BCT670669406951,01,0220,34.575,N,1,,20250930
BCT666209586748,01,0220,954.435,N,1,,20250930
BCT939900816952,01,0220,34.342,N,1,,20250930
BCT577523284260,01,0220,824.326,N,1,,20250930
BCT967279943983,01,0220,1120.326,N,1,,20250930
BCT536071237020,01,0220,68.589,N,1,,20250930
BCT181641800116,01,0220,29.417,N,1,,20250930
BCT524064354778,01,0220,10.964,N,1,,20250930
BCT017326864289,01,0220,929.144,N,1,,20250930
BCT490559863524,01,0220,53.665,N,1,,20250930
BCT335373192191,01,0220,74.208,N,1,,20250930
BCT978720491968,01,0220,21.146,N,1,,20250930
BCT682156366529,01,0220,2581.926,N,1,,20250930
BCT259382631822,01,0220,122.398,N,1,,20250930
BCT524991252168,01,0220,1021.094,N,1,,20250930
BCT966513078286,01,0220,181.612,N,1,,20250930
BCT898506371102,01,0220,0.031,N,1,,20250930
BCT715008081977,01,0220,44.715,N,1,,20250930
BCT705236684036,01,0220,18.92,N,1,,20250930
BCT988590865499,01,0220,579.095,N,1,,20250930
BCT187517682381,01,0220,182.304,N,1,,20250930
BCT396799015488,01,0220,1693.741,N,1,,20250930
BCT618600374155,01,0220,763.618,N,1,,20250930
BCT814595236743,01,0220,297.445,N,1,,20250930
BCT792424303100,01,0220,222.524,N,1,,20250930
BCT307997960776,01,0220,20.86,N,1,,20250930
BCT374449830112,01,0220,179.276,N,1,,20250930
BCT822536508691,01,0220,8.71,N,1,,20250930
BCT678820180960,01,0220,153.524,N,1,,20250930
BCT439292554690,01,0220,464.236,N,1,,20250930
BCT428434351302,01,0220,237.933,N,1,,20250930
BCT653190921727,01,0220,657.294,N,1,,20250930
BCT989935158667,01,0220,15.462,N,1,,20250930
BCT392306998830,01,0220,1995.652,N,1,,20250930
BCT850565178681,01,0220,160.838,N,1,,20250930
BCT077317871897,01,0220,1551.862,N,1,,20250930
BCT503857405152,01,0220,2498.358,N,1,,20250930
BCT224367326588,01,0220,772.919,N,1,,20250930
BCT608749559763,01,0220,83.564,N,1,,20250930
BCT079601777902,01,0220,17.519,N,1,,20250930
BCT905484795966,01,0220,400.214,N,1,,20250930
BCT968377113688,01,0220,1037.922,N,1,,20250930
BCT228052674368,01,0220,27.475,N,1,,20250930
BCT805088329984,01,0220,110.897,N,1,,20250930
BCT327169522863,01,0220,332.973,N,1,,20250930
BCT797480367185,01,0220,1091.525,N,1,,20250930
BCT208541615323,01,0220,3297.589,N,1,,20250930
BCT288229478559,01,0220,973.764,N,1,,20250930
BCT806113736499,01,0220,21.156,N,1,,20250930
BCT447190820773,01,0220,388.476,N,1,,20250930
BCT407923332205,01,0220,16.708,N,1,,20250930
BCT863447580975,01,0220,15.263,N,1,,20250930
BCT128687611878,01,0220,4799.481,N,1,,20250930
BCT034672274141,01,0220,329.468,N,1,,20250930
BCT863325773629,01,0220,26.805,N,1,,20250930
BCT938393314288,01,0220,21.131,N,1,,20250930
BCT562381291991,01,0220,40.814,N,1,,20250930
BCT654837023398,01,0220,70.321,N,1,,20250930
BCT286190451385,01,0220,130.88,N,1,,20250930
BCT054231860631,01,0220,1499.516,N,1,,20250930
BCT718509258777,01,0220,58.784,N,1,,20250930
BCT288433811008,01,0220,1404.379,N,1,,20250930
BCT090576220099,01,0220,33.627,N,1,,20250930
BCT582039971478,01,0220,229.417,N,1,,20250930
BCT114811003958,01,0220,1604.128,N,1,,20250930
BCT333476247756,01,0220,447.373,N,1,,20250930
BCT506093664799,01,0220,1743.308,N,1,,20250930
BCT983627546837,01,0220,179.686,N,1,,20250930
BCT101489856487,01,0220,285.067,N,1,,20250930
BCT228506416610,01,0220,1070.846,N,1,,20250930
BCT335054325227,01,0220,1260.848,N,1,,20250930
BCT642590493194,01,0220,1361.578,N,1,,20250930
BCT040099813216,01,0220,795.284,N,1,,20250930
