REF_CRDT,SEGMENT_RSQ_FINAL,STATUT_DECL
LD2034944534,PP,1
LD2034944535,PP,0
LD2034944536,PM,0
LD2034944537,PM,1
LD2034944538,,0
LD2034944539,,1
LD2034944540,,1
LD2034944541,,1
LD2034944542,PP,0
8900711566,PP,1
8902940872,PP,1
8904340635,PP,1
8904361004,PP,1
8904384586,PP,1
8904385825,PP,1
8904389375,PP,1
8904389901,PP,1
8904391407,PP,1
8904400905,PP,1
8904403308,PP,1
8904412091,PP,1
8904413187,PP,1
8904414687,PP,1
8904417468,PP,1
8904419118,PP,1
8904420752,PP,1
8904425355,PP,1
8904427366,PP,1
8904430081,PP,1
8904462404,PP,1
8904483568,PP,1
8905384587,PP,1
8906812631,PP,1
8906853583,PP,1
8906853621,PP,1
8907294111,PP,1
8907825192,PP,1
8908012381,PP,1
8908015666,PP,1
8909193417,PP,1
8909557381,PP,1
8913007396,PP,1
8914048738,PP,1
8914048991,PP,1
8914049246,PP,1
8914049758,PP,1
8914050015,PP,1
8914050198,PP,1
8914050228,PP,1
8914050608,PP,1
8914050678,PP,1
8914050929,PP,1
8914050945,PP,1
8914051054,PP,1
8914051445,PP,1
8914051647,PP,1
8914051666,PP,1
8914051763,PP,1
8914051868,PP,1
8914052007,PP,1
8914052085,PP,1
8914052107,PP,1
8914052166,PP,1
8914052212,PP,1
8914052247,PP,1
8914052368,PP,1
8914052417,PP,1
8914052794,PP,1
8914052808,PP,1
8914052891,PP,1
8914053006,PP,1
8914053038,PP,1
8914053065,PP,1
8914053073,PP,1
8914053103,PP,1
8914053197,PP,1
8914053208,PP,1
8914053308,PP,1
8914053437,PP,1
8914053669,PP,1
8914053774,PP,1
8914053847,PP,1
8914054053,PP,1
8914054107,PP,1
8914054118,PP,1
8914054142,PP,1
8914054622,PP,1
8914054681,PP,1
8914054789,PP,1
8914054843,PP,1
8914055017,PP,1
8914055246,PP,1
8914055416,PP,1
8914056854,PP,1
8914056978,PP,1
8914057109,PP,1
8914057176,PP,1
8914057338,PP,1
8914057451,PP,1
8914057559,PP,1
8914057591,PP,1
8914057777,PP,1
8914057807,PP,1
8914058307,PP,1
8914058512,PP,1
8914058563,PP,1
8914058571,PP,1
8914058628,PP,1
8914058687,PP,1
