field,missing_values,missing_percentage
CDRCONTMUTL,0,0.0
REF_CONT,0,0.0
REF_CRDT,0,0.0
CLIENT_ID,0,0.0
CURR,0,0.0
CATG,0,0.0
CONT_DATE,60,2.47
VAL_DATE,0,0.0
MATR_DATE,1653,68.14
LIMT_REF,93,3.83
COMP,13,0.54
ACCT_OFFC,0,0.0
INTR_KEY,2165,89.24
TIEG,2274,93.73
INTR_SPREAD,2165,89.24
TAUX_BASE,2274,93.73
MARG,2121,87.43
INTR_RATE,2274,93.73
TYPE_ENG,415,17.11
REF_TITR,1063,43.82
MONT_DEBL,1750,72.14
AUTR_ID,662,27.29
CDRAUTR,0,0.0
CDRCUST,0,0.0
CDRTYPENG,0,0.0
CDRCURR,0,0.0
CDRCATG,0,0.0
CDRTITR,0,0.0
DATDEBVLD,0,0.0
DATFINVLD,0,0.0
VERSION_ACTUELLE,0,0.0
VERSION_NUMBER,0,0.0
DATCHG,0,0.0
