field,missing_values,missing_percentage
CDRCUST,0,0.0
CLIENT_ID,0,0.0
MNMN,0,0.0
SECT_ID,0,0.0
ACCN_OFFC,0,0.0
INDS_ID,0,0.0
TARG,0,0.0
NATN,0,0.0
RESD,0,0.0
CONT_DATE,2,0.2
BIRT_INCR_DATE,956,95.6
ISSU_CHQ,773,77.3
GIVN_NAME,998,99.8
FAML_NAME,998,99.8
GEND,41,4.1
DATE_BIRT,44,4.4
MART_STAT,53,5.3
NET_MONT_IN,481,48.1
NET_MONT_OUT,955,95.5
CUST_TYPE,0,0.0
CALC_RISK_CLSS,998,99.8
MANL_RISK_CLSS,856,85.6
INTR_BANK_SERV,470,47.0
CO_CODE,0,0.0
CIN,998,99.8
DATE_DELV_CIN,170,17.0
PASS,998,99.8
DATE_EXPR_PASS,940,94.0
DATE_DELV_PASS,939,93.9
VISA,998,99.8
DATE_EXPR_VISA,998,99.8
DATE_DELV_VISA,998,99.8
CART_SEJR,998,99.8
DATE_EXPR_CART_SEJR,962,96.2
DATE_DELV_CART_SEJR,961,96.1
IDNT_UNQ,998,99.8
DATE_DELV_IDNT_UNQ,951,95.1
IDNT_FISC,998,99.8
DATE_DELV_IDNT_FISC,998,99.8
MATR_FISC,977,97.7
DATE_DELV_MATR_FISC,977,97.7
AGRM,998,99.8
PATN,998,99.8
DATE_DELV_PATN,998,99.8
NUM_BCT,998,99.8
SHRT_NAME,998,99.8
NAME_1,998,99.8
PHON_1,998,99.8
SMS_1,998,99.8
EML_1,998,99.8
NAME_2,998,99.8
ADDR,998,99.8
STRT,998,99.8
TOWN_CONT,509,50.9
EMPL_BUSS,768,76.8
EMPL_STRT,932,93.2
CODE_POST_ID,0,0.0
CONTR,355,35.5
OTHR_OFFC,911,91.1
POST_REST_ID,989,98.9
EMPL_STAT,137,13.7
JOB_TITL,484,48.4
CUST_CURR,136,13.6
SALR,539,53.9
ANNL_BONS,982,98.2
ACTV_ID,944,94.4
CU_QULT,0,0.0
CU_AUTR_REST,996,99.6
CU_BANQ_PRIVE,998,99.8
CU_CAPC_JUR,7,0.7
SIT_JURD_ID,956,95.6
CU_DATE_SIT_JUR,995,99.5
GRP_CORR_ID,998,99.8
GRP_AFFR_ID,998,99.8
FORM_JURD_ID,0,0.0
CU_CAPTL_SOCIAL,968,96.8
CU_CHFF_AFFR,969,96.9
CU_ANNE_CA,968,96.8
CU_NB_EMPL,965,96.5
CU_INTRD_CHQ,978,97.8
CU_DT_INTER_CHE,978,97.8
CU_INTERE_CART,998,99.8
CU_DT_INTR_C,998,99.8
CU_DT_TRAN_CNTX,958,95.8
CU_PRSP_TRE,993,99.3
TYP_ADRS_ID,0,0.0
PRFS_ID,44,4.4
CU_POLE_GEST,2,0.2
CU_BLACK_LIST,26,2.6
METH_DEMR_ID,445,44.5
RELT_CODE,847,84.7
OTHR_NATN,990,99.0
REL_CUST,847,84.7
PROF_RISK,671,67.1
CU_DIVS_ACT,974,97.4
CU_GRP_ACTV,974,97.4
TYP_REGM_FISC,952,95.2
EXNR_TVA,990,99.0
DT_EXNR_TVA,998,99.8
COMM_COMP,998,99.8
DATE_EXPL,998,99.8
TAUX_PART_ETRN,998,99.8
COTE_BORS,996,99.6
LIEU_NAIS,895,89.5
NIV_SCLR,840,84.0
REGM_MATR,996,99.6
POLT_EXPS,522,52.2
LR_ALPH_2,770,77.0
CLIENT_INTERNATIONAL,0,0.0
ID_MARCHE,0,0.0
ID_CLIENT_TYPE_DEPOSANT,0,0.0
CDRMARCHE,0,0.0
CDRCLTTYPEDEPOSANT,0,0.0
CDRSECT,0,0.0
CDRINDS,0,0.0
CDRACTV,0,0.0
CDRPRFS,0,0.0
CDRGRPAFFR,0,0.0
CDRCONT_NATN,0,0.0
CDRCONT_RESD,0,0.0
CDRCODPOST,0,0.0
CDRPOSTREST,0,0.0
CDRFORMJURD,0,0.0
CDRMETHDEMR,0,0.0
CDRSITJURD,0,0.0
CDRGRPCORS,0,0.0
CDRTYPADRS,0,0.0
CDRCHRBDD,0,0.0
CDRCHRAFF,0,0.0
DATDEBVLD,0,0.0
DATFINVLD,0,0.0
VERSION_ACTUELLE,0,0.0
VERSION_NUMBER,0,0.0
DATCHG,0,0.0
